show_id,type,title,director,cast,country,date_added,release_year,rating,genres,language,popularity,vote_count,vote_average,budget,revenue,ROI
949229,Movie,Leo,Lokesh Kanagaraj,"Vijay, Sanjay Dutt, Arjun Sarja, Trisha Krishnan, Gautham Vasudev Menon",India,2023-10-18,2023,6.9,"Action, Crime, Thriller",ta,11.716,92,6.9,42219285,71772785,1.7
986054,Movie,Theater Camp,"Molly Gordon, Nick Lieberman","Ben Platt, Molly Gordon, Noah Galvin, Jimmy Tatro, Caroline Aaron",United States of America,2023-07-13,2023,6.5,Comedy,en,11.486,177,6.5,5000000,4400000,0.88
1032666,Movie,Bunker,Adrian Langley,"Roger Clark, Luke Baines, Sean Cullen, Julian Feder, Kayla Jenee Radomski",United States of America,2023-09-14,2023,6.9,"Horror, Thriller, War",en,11.391,42,6.9,2500000,101045,0.04
973778,Movie,The End We Start From,Mahalia Belo,"Jodie Comer, Katherine Waterston, Joel Fry, Mark Strong, Gina McKee","United Kingdom, United States of America",2023-12-08,2023,5.7,"Drama, Mystery, Thriller",en,11.016,94,5.7,10000000,604830,0.06
965890,Movie,Vincent Must Die,Stéphan Castang,"Karim Leklou, Vimala Pons, Hervé Pierre, Sébastien Chabane, Anne-Gaëlle Jourdain","Belgium, France",2023-11-15,2023,6.401,"Drama, Fantasy, Comedy, Thriller",fr,10.8,157,6.401,4340000,158787,0.04
934506,Movie,A Real Job,Thomas Lilti,"Vincent Lacoste, François Cluzet, Louise Bourgoin, Adèle Exarchopoulos, William Lebghil",France,2023-09-13,2023,6.361,"Comedy, Drama",fr,10.761,238,6.361,8200000,3452861,0.42
753336,Movie,Origin,Ava DuVernay,"Aunjanue Ellis-Taylor, Niecy Nash-Betts, Jon Bernthal, Emily Yancy, Finn Wittrock",United States of America,2023-12-08,2023,6.607,Drama,en,10.585,56,6.607,38000000,4474931,0.12
1074049,Movie,A Moroccan Affair,Álvaro Fernández Armero,"Julián López, Michelle Jenner, Elena Irureta, María Ramos Mouhoub, Hamza Zaidi",Spain,2023-12-01,2023,5.977,"Comedy, Family",es,10.245,87,5.977,5500000,10950000,1.99
1185743,Movie,Renaissance: A Film by Beyoncé,Beyoncé,"Beyoncé, Jay-Z, Blue Ivy Carter, Sir Carter, Rumi Carter",United States of America,2023-12-01,2023,8.6,"Music, Documentary",en,10.198,29,8.6,15000000,44029271,2.94
978870,Movie,Last Night of Amore,Andrea Di Stefano,"Pierfrancesco Favino, Linda Caridi, Antonio Gerardi, Francesco Di Leva, Katia Mironova",Italy,2023-03-09,2023,7.2,"Thriller, Crime",it,10.183,484,7.2,9500000,3800000,0.4
960876,Movie,Dunki,Rajkumar Hirani,"Shah Rukh Khan, Taapsee Pannu, Vikram Kochhar, Anil Grover, Boman Irani",India,2023-12-21,2023,6.1,"Adventure, Comedy, Drama",hi,10.018,77,6.1,239000000,501000000,2.1
1108658,Movie,The Shift,Brock Heasley,"Kristoffer Polaha, Neal McDonough, Elizabeth Tabish, Sean Astin, Jason Marsden",United States of America,2023-11-30,2023,6.2,Science Fiction,en,9.732,59,6.2,6500000,12238643,1.88
965791,Movie,A Difficult Year,"Éric Toledano, Olivier Nakache","Pio Marmaï, Jonathan Cohen, Noémie Merlant, Mathieu Amalric, Grégoire Leprince-Ringuet",France,2023-10-18,2023,5.91,Comedy,fr,9.706,279,5.91,13000000,7004555,0.54
1008903,Movie,Left Behind: Rise of the Antichrist,Kevin Sorbo,"Kevin Sorbo, Neal McDonough, Corbin Bernsen, Bailey Chase, Sarah Fisher",Canada,2023-01-26,2023,4.848,"Science Fiction, Action, Thriller, Fantasy",en,9.555,23,4.848,10000000,3649422,0.36
1032194,Movie,The Blind,Andrew Hyatt,"Aron von Andrian, Amelia Eve, Scarlett Abinante, Matthew Erick White, Ronan Carroll",United States of America,2023-09-28,2023,6.8,Drama,en,9.487,28,6.8,30000000,17265487,0.58
935906,Movie,Scrapper,Charlotte Regan,"Lola Campbell, Harris Dickinson, Alin Uzun, Laura Aikman, Ambreen Razia",United Kingdom,2023-08-25,2023,6.7,"Comedy, Drama",en,9.474,131,6.7,84,1234483,14696.23
1126128,Movie,13 Bombs,Angga Dwimas Sasongko,"Chicco Kurniawan, Ardhito Pramono, Lutesha, Muhammad Khan, Putri Ayudya","Indonesia, South Korea",2023-12-28,2023,7.2,"Action, Crime, Thriller",id,9.399,19,7.2,4722030,953672,0.2
1118824,Movie,Mallari,Derick Cabrido,"Piolo Pascual, Gloria Diaz, Janella Salvador, JC Santos, Elisse Joson",Philippines,2023-12-25,2023,7.1,"Horror, Mystery, Thriller",tl,9.261,7,7.1,1350000,3800000,2.81
989596,Movie,The Braid,Laetitia Colombani,"Kim Raver, Fotinì Peluso, Mia Maelzer, Katharine King So, Avi Nash","Belgium, Canada, France, Italy",2023-11-29,2023,7.6,"Drama, Comedy",en,9.24,158,7.6,8500000,9235757,1.09
1036312,Movie,21 Positions,Néstor Ruiz Medina,"María Lázaro, Fernando Barona, Mario Fernández Alonso",Spain,2023-11-21,2023,6.2,Drama,es,9.148,6,6.2,186413,2168,0.01
1027982,Movie,Abang Adik,Jin Ong,"Wu Kang-ren, Jack Tan, Serene Lim, Tan Kim Wang, Bront Palarae","Malaysia, Singapore, Taiwan",2023-12-01,2023,7.6,"Drama, Crime",zh,9.021,33,7.6,653000,1363827,2.09
762509,Movie,Mufasa: The Lion King,Barry Jenkins,"Aaron Pierre, Kelvin Harrison, Jr., Tiffany Boone, Kagiso Lediga, Preston Nyman",United States of America,2024-12-18,2024,7.467,"Adventure, Family, Animation",en,2643.627,1497,7.467,200000000,700197856,3.5
